count,mean_Earnings,std_Earnings
1331,14900.405709992487,16432.77000114295
113,14945.044247787611,16555.977239779477
536,16235.858208955224,14390.705658707586
3788,16620.493928194297,15627.600938733565
1337,16868.38444278235,20674.271930182003
1455,17200.240549828177,15666.75943016007
9900,17485.504646464648,16898.448536979464
413,17855.375302663437,24934.411743555444
317,18443.72239747634,18910.04500054648
12370,18945.816572352465,21375.376002331996
12031,19723.61815310448,19450.33475965967
8501,19992.385601693917,26313.652148468223
8800,20444.996704545454,16164.839628000927
773,20644.954721862872,13843.979122054649
7403,20739.541267053897,21147.46175638877
583,21070.686106346482,13184.831707584104
275,21266.98181818182,14862.656038103265
1359,21793.024282560706,18438.68669968874
2191,21903.929712460063,19776.452810936185
58,22020.344827586207,11427.21619881441
2745,22091.814207650274,18025.068526790623
905,22172.475138121546,26617.647130774334
654,23896.785932721712,26438.239579467132
1373,24324.493809176984,21485.325471629778
4016,24728.254482071712,19186.253404900126
59,24757.627118644068,13522.576312760239
1808,24881.766592920354,21619.594437915246
5611,25004.48957405097,23614.704606262276
968,25148.421487603307,38377.07442008185
844,25229.348341232228,29279.511776925534
276,25384.565217391304,16203.599964522593
78,25448.71794871795,11606.690229141901
445,25581.460674157304,27127.679937797322
7586,25584.14909042974,23230.713830277662
6467,26015.113653935365,20486.78966825072
362,26178.701657458565,36192.85405241237
455,26305.69230769231,36790.92885699715
2155,26422.19489559165,22525.939195468625
261,26515.708812260535,18824.594468394233
193,26571.709844559584,33818.247365493444
15991,26618.94715777625,25397.867018966135
8857,26899.661736479622,25346.770850944646
86,26936.04651162791,18352.143088771747
189,27107.989417989418,21099.854849251024
249,27184.176706827307,39977.39939420132
295,27234.20338983051,21839.87282143491
235,27331.063829787236,16073.20635525605
611,27346.85761047463,16419.357945885145
327,27385.443425076453,17875.40932739134
16,27528.125,22813.8113778328
2640,27693.99659090909,26681.361802938936
166,27747.349397590362,22331.91891953525
515,27771.844660194176,25404.165049131756
2467,27878.57965139846,26307.11527752712
481,28258.89812889813,16958.543502956967
3803,28274.057323165922,21546.587241382982
267,28470.674157303372,23340.82883106868
67,28489.10447761194,46698.42203327656
364,28600.274725274725,44244.289584147
266,28997.48120300752,15988.964261640675
90,29713.333333333332,20165.735763328958
51,29776.470588235294,11574.29199969128
81,29792.716049382718,22010.41747743246
801,29881.373283395755,20583.989667013906
1021,30278.530852105778,23218.795813219058
177,30332.20338983051,17935.78926601116
486,30465.637860082305,28259.00371625996
3405,30653.36563876652,23401.127379700003
422,30680.52132701422,27465.065363194262
227,30769.471365638765,42474.80173020462
246,30885.731707317074,55546.60613517166
13320,31045.933183183184,26946.80530452291
1627,31137.301782421633,24389.434720529644
2115,31139.739952718675,24737.420133310752
690,31313.75507246377,39546.37376933845
234,31333.076923076922,19440.086409031836
3528,31353.257369614512,30201.88617852633
55,31432.727272727272,17733.19814636707
2556,31740.395148669795,23858.236519580147
226,31883.893805309734,20194.11051365129
4184,31913.109464627152,20005.96503471116
3216,32061.293843283584,37659.195701316865
115,32449.565217391304,33948.000416305025
124,32482.016129032258,30264.572488880414
1571,32499.86632718014,22220.855809623023
459,32765.054466230937,29315.317406751692
1229,32881.47111472742,30461.849977536294
214,32882.056074766355,29665.01036379667
70,32884.28571428572,16767.59846185654
216,33215.416666666664,40694.92326274207
2473,33393.8819247877,23015.060530423583
8822,33526.67671729766,27492.126718365995
4217,33726.49276737017,26718.033992494773
307,33792.44299674267,26712.79555993049
3990,34137.160401002504,22439.7319837709
229,34149.34497816594,40238.782484030686
7184,34210.84632516704,26237.520916352805
80,34211.25,18678.499070633203
257,34308.21011673152,23132.80010145342
371,34429.757412398925,37069.96194480972
941,34452.96493092455,25627.40342289543
5733,34578.5853828711,32184.155611732942
127,34662.04724409449,17078.78696012971
444,34668.80630630631,37250.29975389088
927,34846.03020496224,26688.921318718658
898,34897.29510022272,36904.565568355814
912,35151.304824561405,37031.80265454963
11425,35212.49426695843,32120.41867256671
3685,35402.0461329715,23899.45809249939
935,35720.95935828877,31137.61957437525
25472,35847.70846419598,27026.4837865098
125,35863.36,32142.15057301027
1092,36288.919413919415,19371.86049014382
69,36692.76811594203,29093.918151669208
74,36800.0,26658.59752345963
6188,36829.22915319974,27642.010924837155
16323,36919.59504992955,36092.85778402987
814,37040.78746928747,20638.92809201809
260,37185.846153846156,30210.24643442601
5042,37199.77072590242,37321.19404953267
517,37514.85493230174,26726.8595597498
17530,37572.28807758129,46212.2496496395
9662,37583.05837300766,29650.724538505343
375,37587.706666666665,27981.512490403795
698,37674.140401146135,24760.513994609373
9364,38058.768154634774,29711.909070934867
605,38081.90082644628,23280.336767112032
3214,38167.74113254512,23812.013413820972
97,38174.742268041235,17783.972951601645
94,38236.17021276596,42287.02450030028
194,38319.58762886598,19153.0575714908
8294,38398.73306004341,30491.30807084761
558,38404.74910394265,26292.91925062153
1159,38474.03019844694,42600.93738514701
1208,38751.82698675497,54174.68548176281
746,38856.635388739945,40640.23796181628
1084,39038.4778597786,28601.32669679299
933,39267.71918542337,32088.15983517525
643,39439.28460342146,20534.148204346457
529,39501.32325141777,36024.72238957143
1391,39717.54852624011,31001.739732344027
363,39813.691460055095,23568.937152323517
381,39837.40157480315,29296.054715859427
348,40133.96551724138,21622.060389069033
229,40141.18340611354,34957.815699927174
1374,40187.91848617176,25394.113583574104
265,40230.83018867925,49287.03812706216
423,40320.3073286052,35871.12588392239
843,40352.9418742586,34984.772515512734
207,40529.371980676326,18488.14469501662
668,40725.37425149701,28373.754221909596
431,40830.533642691415,31645.303379706
280,40862.0,41453.58181687112
1334,41027.22488755622,21706.293340332068
111,41052.252252252256,21810.659807646378
4703,41081.73931533064,30155.6280550901
655,41335.87786259542,27797.56459945549
2204,41376.19328493648,27692.15659180858
175,41430.857142857145,26229.435663736567
6045,41482.893300248135,36341.09627465994
600,41527.473333333335,46211.735299325366
2916,41577.743484224964,31769.736154906233
691,41609.75397973951,29195.504519399656
221,41659.72850678733,23336.66755672774
964,41809.242738589215,25307.404897071097
257,42811.284046692606,35015.27999474527
175,42911.08571428571,23269.90880323775
192,43063.541666666664,21051.575259319146
117,43194.8717948718,20689.856110872162
636,43281.588050314465,20160.23022366003
1489,43330.597716588316,40353.07331609059
277,43351.73285198556,24633.325751226825
64,43659.375,18341.753207212383
197,43745.93908629441,27462.099741286213
888,43828.04054054054,28074.22863018439
1069,44094.79981290926,29729.09800287853
242,44177.396694214876,26173.4245868871
91,44213.18681318681,26434.641450571416
272,44218.82352941176,29516.530737921956
167,44351.796407185626,58675.72744099032
4611,44567.13294296248,30221.6451884297
2132,44736.44512195122,31898.371997271137
198,44871.919191919194,46820.006985967295
1324,44981.56344410876,26774.104176795416
5914,45026.84984781873,32824.83888195073
66,45305.15151515151,28342.115725944735
97,45441.237113402065,21805.325957670862
745,45480.040268456374,24964.540446454812
24474,45618.37149628177,37652.8508249016
4008,45730.57634730539,25712.302187776186
184,45741.30434782609,31541.84367018702
1483,45752.27242076871,33880.20921041752
292,45850.68493150685,35447.424630448375
205,46430.73170731707,32978.16392752343
1987,46552.1791645697,24796.0699878023
480,46663.333333333336,19953.078511888845
790,46709.91139240506,26102.47071751405
724,47023.4544198895,33101.32035161209
2333,47139.80325760823,27632.913326289738
2760,47171.37463768116,29721.461675688308
132,47271.969696969696,18757.46493391808
420,47279.333333333336,28742.175401487362
1344,47448.56398809524,34781.02022125067
2409,47598.87920298879,33112.226785536164
1182,47735.897631133674,53417.473248027534
2753,48275.37595350527,25392.883035987077
355,48282.81690140845,48664.66383493207
920,48287.891304347824,24054.77273442469
30711,48485.85624043502,25974.994170520782
1510,48623.9821192053,58496.75850772877
912,48924.59429824561,45467.12428353692
1431,49157.00908455625,67020.1922750646
182,49536.26373626374,26353.35749305159
2785,49738.92315978456,22858.619677648265
3355,49961.701937406855,27507.04969097614
2910,50379.9587628866,32544.59237225434
85,50483.529411764706,48670.047616722186
352,50664.28977272727,39921.32811931963
431,50763.96751740139,36132.32513053202
727,50929.40852819807,26898.772377839156
2581,50996.691204959316,34830.513679188836
1558,51065.64184852375,46185.647507106645
3991,51556.95088950138,44608.90529421183
6397,52829.89057370643,26272.447766654015
1298,52961.702619414486,30427.788117067503
3310,53273.045317220545,27325.337718782423
255,53495.686274509804,40788.49735834336
1766,54103.9637599094,36140.820368584136
1161,54156.770025839796,35941.12992327487
876,55171.57534246575,48064.29058816983
487,55279.05544147844,39941.18068275288
126,55473.01587301587,74930.57737687431
1692,55520.135933806145,37275.07901366944
6575,55656.67634980989,52923.80018420368
505,55812.158415841586,30225.258521198244
87,55926.4367816092,31894.668431653958
1195,55943.054393305436,26573.791302972855
60,56070.0,27083.169456262134
2927,56210.256235052955,37252.18885203767
104,56230.730769230766,22789.881803682973
452,56331.50442477876,54095.804251743946
176,57216.47727272727,36990.113135879896
445,57314.831460674155,45440.10219663298
2363,57923.77486246297,39485.808205901696
131,58089.31297709924,25045.909390890094
2924,58194.476744186046,30824.85153938926
318,58424.55974842767,89388.3005190242
271,58573.87453874539,44868.13525051241
162,58727.16049382716,30604.836675139595
1418,58852.99788434415,53490.17855659326
71,58945.77464788732,48006.99260560076
569,59005.92267135325,32993.73118382685
756,59329.40476190476,48712.277259477036
322,59479.19254658385,34228.098283699226
199,59486.38190954774,32873.24013763075
2285,59627.90371991247,44712.67296198911
1005,59827.164179104475,45586.46427960656
62,60098.3870967742,53146.91821158291
185,60263.24324324324,55709.45347798263
1346,60270.31203566122,47423.885049741664
254,60493.700787401576,37174.341416732925
596,61021.54362416107,43967.92213390216
166,61025.301204819276,54169.58744954755
367,61102.12534059946,25381.578543313
217,61188.01843317972,57184.118199863464
268,61353.35820895522,34154.96997069272
10816,61562.85965236687,55996.039197531405
259,61680.50193050193,67521.4391458056
155,61690.32258064516,29792.071145558497
1712,62005.94976635514,82004.00011630662
651,62063.133640552995,57119.25601766312
704,62695.923295454544,51568.97804067012
449,62741.98218262806,68033.4473468201
1025,62830.55609756098,45748.607652384984
587,63250.68143100511,62428.68316557238
735,63420.91156462585,32404.27322144226
162,63453.7037037037,31927.773962062136
302,63934.17218543046,48465.51401749722
663,64399.034690799395,95690.3002845804
388,64507.47422680412,32780.25924528305
671,64980.76005961252,39938.30308490889
477,65159.95807127882,40091.931783288856
212,65817.45283018867,41448.393026466496
561,65985.20499108735,56380.00701872179
1071,67327.55368814192,42492.081956091955
1954,67511.62538382804,71960.90116183538
5979,67784.04749958187,33363.825168154886
5857,67795.41061977121,60494.66027027032
525,68352.09523809524,42952.24731066717
109,68780.73394495413,29726.978260384523
443,69287.47178329571,32411.255550407794
236,70715.25423728813,64920.68762121735
457,71396.3238512035,49319.07527537085
1476,71814.65447154471,53727.080294440704
201,72201.99004975124,42954.59342165748
889,72983.59955005624,52618.60901769051
3955,73775.20960809103,83809.58210059197
2484,74696.73510466989,72022.22140203201
981,76734.77064220184,40100.00367796557
5456,76824.88178152492,94015.14422905697
1920,78107.23958333333,61634.14362029448
1070,78638.73831775702,36784.3423953724
999,79330.23023023023,92468.32050622275
256,79656.6015625,43021.64179250923
691,80269.60926193921,54467.91771833894
1949,80882.58081067214,61989.21190635767
133,81566.31578947368,36265.32857673165
344,81724.04069767441,70318.5743263255
396,81917.67676767676,54724.49654573229
199,82389.94974874372,37013.348663561796
405,82656.04938271605,31312.455912066045
1242,83829.34782608696,43418.88769695796
11079,84068.53678129795,78540.05144529899
945,84390.61375661376,42853.130060461604
154,85905.84415584416,66653.03119086035
1038,85910.73217726397,92576.05740925772
312,87788.94230769231,79559.47348408098
4880,88004.68032786885,92082.56051412193
2025,88097.89135802469,43108.77694566431
77,88574.02597402598,58833.73853629576
478,88867.78242677824,36799.042458869335
1250,88905.3584,93591.33823782875
1273,89346.09269442262,74507.52912062789
359,89509.55431754874,54599.991408533984
1482,90342.52091767882,79346.52467286953
97,90355.67010309278,34388.97282400326
460,91395.43478260869,38724.948762694294
831,92410.26474127558,55721.05171320993
2570,92907.28171206226,57043.36881076245
603,93742.68656716419,85058.5568150245
438,95017.35159817351,79864.18001371343
105,98062.85714285714,65425.62168239192
453,98758.25607064017,116134.01267427258
292,99711.98630136986,53726.51594537541
4496,100022.6859430605,56900.20721783729
1690,102356.9349112426,56626.570667655185
456,104803.48684210527,71311.26958940338
2404,106926.18552412646,63719.8232169186
71,110228.1690140845,73937.56668027153
304,113066.94078947368,64585.43476419163
505,113803.78217821782,60385.33964300992
1835,116122.87738419618,116295.86226115789
301,121848.67109634551,89534.09110628269
1130,130472.74336283185,97564.62817055204
337,145268.84272997032,105113.47047426814
2825,146967.46548672568,148283.85967018566
1874,151577.6152614728,163188.46424002026
8874,156727.0739238224,135097.47769384919
67,174783.58208955225,137227.9739979436
1224,188562.70506535948,141456.3948276375
7405,231459.67832545578,166980.91397517134
